sort,coral_id,site,type,code,family,genus,species,cafi_size_mm,measurement,alt_size_mm,alt_measurement,cafi_weight,extraction_method,known_unknown,predicted_family,photo_num,revised_yn,revision_date,identified_by,revised_by,previous_name,AP_list_num,notes
14,MRB-POC02,MRB01,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
15,MRB-POC02,MRB01,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
16,MRB-POC02,MRB01,fish,CAMA,caracanthidae,caracanthus,maculatus,,total_length,,standard_length,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
17,MRB-POC02,MRB01,fish,CAMA,caracanthidae,caracanthus,maculatus,,total_length,,standard_length,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
18,MRB-POC02,MRB01,clear_shrimp,HADE,,,,,rostrum_to_tail,,,NA,clove,known,,US 5,y,31-Oct,AP,ZSP,clear_shrimp,7,merged from AP community matrix data on 7/6
19,MRB-POC02,MRB01,clear_shrimp,HASP,,,,,rostrum_to_tail,,,NA,clove,known,,US 6,y,31-Oct,AP,ZSP,clear_shrimp,8,merged from AP community matrix data on 7/6
20,MRB-POC02,MRB01,clear_shrimp,clear_shrimp,,,,,rostrum_to_tail,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
21,MRB-POC02,MRB01,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 14,,15-Nov,AP,JC,clear_shrimp,12,merged from AP community matrix data on 7/6
22,MRB-POC02,MRB01,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 9,y,31-Oct,AP,ZSP,clear_shrimp,9,merged from AP community matrix data on 7/6
23,MRB-POC02,MRB01,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 10,y,31-Oct,AP,ZSP,clear_shrimp,10,merged from AP community matrix data on 7/6
24,MRB-POC02,MRB01,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 11,y,31-Oct,AP,ZSP,clear_shrimp,11,merged from AP community matrix data on 7/6
25,MRB-POC02,MRB01,snail,LIMP,,,,,shell_length,,,NA,clove,known,quoyula madreporum,,,,,,,13,merged from AP community matrix data on 7/6
26,MRB-POC02,MRB01,fish,PAAR,cirrhitidae,paracirrhites,arcatus,30,total_length,,standard_length,NA,field,known,,,,,,,,,From field survey
27,MRB-POC02,MRB01,worm,polychaete,,,,,total_length,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
28,MRB-POC02,MRB01,crab,TRAR,trapeziidae,trapezia,areolata,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
29,MRB-POC02,MRB01,crab,TRBI,trapeziidae,trapezia,bidentata,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
30,MRB-POC02,MRB01,crab,TRBI,trapeziidae,trapezia,bidentata,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
31,MRB-POC02,MRB01,crab,TRBI,trapeziidae,trapezia,bidentata,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
32,MRB-POC02,MRB01,crab,TRBI,trapeziidae,trapezia,bidentata,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
33,MRB-POC02,MRB01,crab,TRSE,trapeziidae,trapezia,serenei,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
34,MRB-POC02,MRB01,crab,TRSE,trapeziidae,trapezia,serenei,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
35,MRB-POC02,MRB01,crab,TRTI,trapeziidae,trapezia,tigrina,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
36,MRB-POC02,MRB01,shrimp,unknown_shrimp,,,,,rostrum_to_tail,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
37,MRB-POC02,MRB01,shrimp,unknown_shrimp,,,,,rostrum_to_tail,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
38,MRB-POC02,MRB01,crab,TRSE,,,,,carapace_width,,,NA,clove,known,,UC 8,y,31-Oct,AP,ZSP,unknown_crab,6,merged from AP community matrix data on 7/6
39,MRB-POC02,MRB01,hermit,unknown_hermit,,,,,carapace_length,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
40,MRB-POC03,MRB02,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
41,MRB-POC03,MRB02,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
42,MRB-POC03,MRB02,clear_shrimp,HADE,,,,,rostrum_to_tail,,,NA,clove,known,,US 22,y,14-Nov,AP,ZSP,clear_shrimp,17,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
43,MRB-POC03,MRB02,clear_shrimp,HADE,,,,,rostrum_to_tail,,,NA,clove,known,,US 23,y,14-Nov,AP,ZSP,clear_shrimp,18,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
44,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 24,y,14-Nov,AP,ZSP,clear_shrimp,19,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
45,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 25,y,14-Nov,AP,ZSP,clear_shrimp,20,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
46,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 26,y,14-Nov,AP,ZSP,clear_shrimp,21,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
47,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 27,y,14-Nov,AP,ZSP,clear_shrimp,22,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
48,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 28,y,14-Nov,AP,ZSP,clear_shrimp,23,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
49,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 29,y,14-Nov,AP,ZSP,clear_shrimp,24,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
50,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 30,y,14-Nov,AP,ZSP,clear_shrimp,25,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
51,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 31,y,14-Nov,AP,ZSP,clear_shrimp,26,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
52,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 32,y,14-Nov,AP,ZSP,clear_shrimp,27,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
53,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 33,y,14-Nov,AP,ZSP,clear_shrimp,28,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
54,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 34,y,14-Nov,AP,ZSP,clear_shrimp,29,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
55,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 35,y,14-Nov,AP,ZSP,clear_shrimp,30,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
56,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 36,y,14-Nov,AP,ZSP,clear_shrimp,31,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
57,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 37,y,14-Nov,AP,ZSP,clear_shrimp,32,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
58,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 38,y,14-Nov,AP,ZSP,clear_shrimp,33,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
59,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 39,y,14-Nov,AP,ZSP,clear_shrimp,34,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
60,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 40,y,14-Nov,AP,ZSP,clear_shrimp,35,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
61,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 41,y,14-Nov,AP,ZSP,clear_shrimp,36,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
62,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 42,y,14-Nov,AP,ZSP,clear_shrimp,37,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
63,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 43,y,14-Nov,AP,ZSP,clear_shrimp,38,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
64,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 44,y,14-Nov,AP,ZSP,clear_shrimp,39,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
65,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 45,y,14-Nov,AP,ZSP,clear_shrimp,40,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
66,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 46,y,14-Nov,AP,ZSP,clear_shrimp,41,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
67,MRB-POC03,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 47,y,14-Nov,AP,ZSP,clear_shrimp,42,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos"
68,MRB-POC03,MRB02,hermit,unknown_hermit,,,,,carapace_length,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
69,MRB-POC03,MRB02,snail,LIMP,,,,,shell_length,,,NA,clove,known,quoyula madreporum,,,,,,,,merged from AP community matrix data on 7/6
70,MRB-POC03,MRB02,crab,TRSP,trapeziidae,trapezia,speciosa,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
71,MRB-POC03,MRB02,crab,TRSP,trapeziidae,trapezia,speciosa,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
72,MRB-POC03,MRB02,crab,unknown_crab,,,,,carapace_width,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
73,MRB-POC03,MRB02,crab,TRSE,,,,,carapace_width,,,NA,clove,known,,UC 10,y,31-Oct,AP,ZSP,unknown_crab,14,merged from AP community matrix data on 7/6
74,MRB-POC03,MRB02,crab,LIIN,,,,,carapace_width,,,NA,clove,known,,UC 11,y,31-Oct,AP,ZSP,unknown_crab,15,merged from AP community matrix data on 7/6
75,MRB-POC03,MRB02,crab,LIIN,,,,,carapace_width,,,NA,clove,known,,UC 12,y,31-Oct,AP,ZSP,unknown_crab,16,merged from AP community matrix data on 7/6
76,MRB-POC03,MRB02,worm,unknown_polychaete,,,,,total_length,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
77,MRB-POC03,MRB02,snail,unknown_snail,,,,,shell_length,,,NA,smash,unknown,,,,,,,,,merged from AP community matrix data on 7/6
78,MRB-POC04,MRB02,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
79,MRB-POC04,MRB02,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
80,MRB-POC04,MRB02,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,smash,known,,US 52,y,14-Nov,AP,ZSP,clear_shrimp,48,merged from AP community matrix data on 7/6
81,MRB-POC04,MRB02,clear_shrimp,HADE,,,,,rostrum_to_tail,,,NA,clove,known,,US 53,y,14-Nov,AP,ZSP,clear_shrimp,49,merged from AP community matrix data on 7/6
82,MRB-POC04,MRB02,clear_shrimp,HADE,,,,,rostrum_to_tail,,,NA,clove,known,,US 54,y,14-Nov,AP,ZSP,clear_shrimp,50,merged from AP community matrix data on 7/6
83,MRB-POC04,MRB02,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
84,MRB-POC04,MRB02,worm,polychaete,,,,,total_length,,,NA,smash,unknown,,,,,,,,,merged from AP community matrix data on 7/6
85,MRB-POC04,MRB02,worm,polychaete,,,,,total_length,,,NA,smash,unknown,,,,,,,,,merged from AP community matrix data on 7/6
86,MRB-POC04,MRB02,crab,TRBI,trapeziidae,trapezia,bidentata,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
87,MRB-POC04,MRB02,crab,TRSE,trapeziidae,trapezia,serenei,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
88,MRB-POC04,MRB02,crab,TRSE,trapeziidae,trapezia,serenei,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
89,MRB-POC04,MRB02,crab,TRTI,trapeziidae,trapezia,tigrina,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
90,MRB-POC04,MRB02,crab,TRTI,trapeziidae,trapezia,tigrina,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
91,MRB-POC04,MRB02,crab,TRSE,,,,,carapace_width,,,NA,clove,known,,UC 13,y,31-Oct,AP,ZSP,unknown_crab,47,merged from AP community matrix data on 7/6
92,MRB-POC04,MRB02,crab,unknown_crab,,,,,carapace_width,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
93,MRB-POC04,MRB02,shrimp,unknown_shrimp,,,,,rostrum_to_tail,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
94,MRB-POC05,MRB03,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
95,MRB-POC05,MRB03,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
96,MRB-POC05,MRB03,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,smash,known,,,,,,,,,merged from AP community matrix data on 7/6
97,MRB-POC05,MRB03,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,smash,known,,,,,,,,,merged from AP community matrix data on 7/6
98,MRB-POC05,MRB03,clear_shrimp,HASP,,,,,rostrum_to_tail,,,NA,clove,known,,US 61,y,15-Nov,AP,JC,clear_shrimp,64,merged from AP community matrix data on 7/6
99,MRB-POC05,MRB03,clear_shrimp,HASP,,,,,rostrum_to_tail,,,NA,clove,known,,US 62,y,15-Nov,AP,JC,clear_shrimp,65,merged from AP community matrix data on 7/6
100,MRB-POC05,MRB03,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 69,y,15-Nov,AP,JC,clear_shrimp,68,merged from AP community matrix data on 7/6
101,MRB-POC05,MRB03,clear_shrimp,FECH,,,,,rostrum_to_tail,,,NA,clove,known,,US 70,y,15-Nov,AP,JC,clear_shrimp,69,merged from AP community matrix data on 7/6
102,MRB-POC05,MRB03,clear_shrimp,clear_shrimp,,,,,rostrum_to_tail,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
103,MRB-POC05,MRB03,clear_shrimp,clear_shrimp,,,,,rostrum_to_tail,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
104,MRB-POC05,MRB03,clear_shrimp,clear_shrimp,,,,,rostrum_to_tail,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
105,MRB-POC05,MRB03,clear_shrimp,clear_shrimp,,,,,rostrum_to_tail,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
106,MRB-POC05,MRB03,clear_shrimp,clear_shrimp,,,,,rostrum_to_tail,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
107,MRB-POC05,MRB03,clear_shrimp,clear_shrimp,,,,,rostrum_to_tail,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
108,MRB-POC05,MRB03,hermit,unknown_hermit,,,,,carapace_length,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
109,MRB-POC05,MRB03,hermit,unknown_hermit,,,,,carapace_length,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
110,MRB-POC05,MRB03,fish,NEAR,cirrhitidae,neocirrhites,armatus,,total_length,,standard_length,NA,field,known,,,,,,,,,observed in field but not measured
111,MRB-POC05,MRB03,fish,NEAR,cirrhitidae,neocirrhites,armatus,,total_length,,standard_length,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
112,MRB-POC05,MRB03,fish,PAAR,cirrhitidae,paracirrhites,arcatus,,total_length,,standard_length,NA,field,known,,,,,,,,,observed in field but not measured
113,MRB-POC05,MRB03,fish,PAAR,cirrhitidae,paracirrhites,arcatus,,total_length,,standard_length,NA,field,known,,,,,,,,,observed in field but not measured
114,MRB-POC05,MRB03,worm,polychaete,,,,,total_length,,,NA,smash,unknown,,,,,,,,,merged from AP community matrix data on 7/6
115,MRB-POC05,MRB03,worm,polychaete,,,,,total_length,,,NA,smash,unknown,,,,,,,,,merged from AP community matrix data on 7/6
116,MRB-POC05,MRB03,worm,polychaete,,,,,total_length,,,NA,smash,unknown,,,,,,,,,merged from AP community matrix data on 7/6
117,MRB-POC05,MRB03,squat_lobster,GAMA,,,,,carapace_length,,,NA,smash,known,,USL 1,y,14-Nov,AP,ZSP,squat,71,merged from AP community matrix data on 7/6
118,MRB-POC05,MRB03,crab,TRBI,trapeziidae,trapezia,bidentata,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
119,MRB-POC05,MRB03,crab,TRBI,trapeziidae,trapezia,bidentata,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
120,MRB-POC05,MRB03,crab,TRBI,trapeziidae,trapezia,bidentata,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
121,MRB-POC05,MRB03,crab,TRSE,trapeziidae,trapezia,serenei,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
122,MRB-POC05,MRB03,crab,TRSE,trapeziidae,trapezia,serenei,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
123,MRB-POC05,MRB03,crab,TRSP,trapeziidae,trapezia,speciosa,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
124,MRB-POC05,MRB03,crab,TRSP,trapeziidae,trapezia,speciosa,,carapace_width,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
125,MRB-POC05,MRB03,crab,CYQU,,,,,carapace_width,,,NA,clove,known,,UC 15,y,14-Nov,AP,ZSP,unknown_crab,51,merged from AP community matrix data on 7/6
126,MRB-POC05,MRB03,crab,TRBI,,,,,carapace_width,,,NA,clove,known,,UC 16,y,14-Nov,AP,ZSP,unknown_crab,52,merged from AP community matrix data on 7/6
127,MRB-POC05,MRB03,crab,TRSE,,,,,carapace_width,,,NA,clove,known,,UC 17,y,14-Nov,AP,ZSP,unknown_crab,53,merged from AP community matrix data on 7/6
128,MRB-POC05,MRB03,crab,TRSE,,,,,carapace_width,,,NA,clove,known,,UC 18,y,14-Nov,AP,ZSP,unknown_crab,54,merged from AP community matrix data on 7/6
129,MRB-POC05,MRB03,crab,LIIN,,,,,carapace_width,,,NA,clove,known,,UC 19,y,14-Nov,AP,ZSP,unknown_crab,55,merged from AP community matrix data on 7/6
130,MRB-POC05,MRB03,crab,PETU,,,,,carapace_width,,,NA,clove,known,,UC 20,y,14-Nov,AP,ZSP,unknown_crab,56,merged from AP community matrix data on 7/6
131,MRB-POC05,MRB03,crab,LIIN,,,,,carapace_width,,,NA,clove,known,,UC 21,y,14-Nov,AP,ZSP,unknown_crab,57,merged from AP community matrix data on 7/6
132,MRB-POC05,MRB03,crab,XACA,,,,,carapace_width,,,NA,clove,known,,UC 22,y,14-Nov,AP,ZSP,unknown_crab,58,merged from AP community matrix data on 7/6
133,MRB-POC05,MRB03,crab,LIIN,,,,,carapace_width,,,NA,clove,known,,UC 23,y,14-Nov,AP,ZSP,unknown_crab,59,merged from AP community matrix data on 7/6
134,MRB-POC05,MRB03,crab,TRSE,,,,,carapace_width,,,NA,clove,known,,UC 24,y,14-Nov,AP,ZSP,unknown_crab,60,merged from AP community matrix data on 7/6
135,MRB-POC05,MRB03,crab,PSVA,,,,,carapace_width,,,NA,clove,known,,UC 25,y,14-Nov,AP,ZSP,unknown_crab,61,merged from AP community matrix data on 7/6
136,MRB-POC05,MRB03,crab,unknown_crab,,,,,carapace_width,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
137,MRB-POC05,MRB03,crab,unknown_crab,,,,,carapace_width,,,NA,smash,unknown,majiidae,none,,,,,,,merged from AP community matrix data on 7/6; NO PHOTO
138,MRB-POC05,MRB03,crab,unknown_crab,,,,,carapace_width,,,NA,smash,unknown,,none,,,,,,,merged from AP community matrix data on 7/6 NO PHOTO
139,MRB-POC05,MRB03,shrimp,ALLO,,,,,rostrum_to_tail,,,NA,clove,known,,US 59,,15-Nov,AP,JC,unknown_shrimp,62,merged from AP community matrix data on 7/6
140,MRB-POC05,MRB03,shrimp,ALPA,,,,,rostrum_to_tail,,,NA,clove,known,,US 60,,15-Nov,AP,JC,unknown_shrimp,63,merged from AP community matrix data on 7/6
141,MRB-POC05,MRB03,shrimp,ALPA,,,,,rostrum_to_tail,,,NA,clove,known,,US 64,,15-Nov,AP,JC,unknown_shrimp,66,merged from AP community matrix data on 7/6
142,MRB-POC05,MRB03,shrimp,ALPA,,,,,rostrum_to_tail,,,NA,clove,known,,US 65,,15-Nov,AP,JC,unknown_shrimp,67,merged from AP community matrix data on 7/6
143,MRB-POC05,MRB03,shrimp,ALPA,,,,,rostrum_to_tail,,,NA,clove,known,,US 72,,15-Nov,AP,JC,unknown_shrimp,70,merged from AP community matrix data on 7/6
144,MRB-POC05,MRB03,snail,unknown_snail,,,,,shell_length,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
145,MRB-POC05,MRB03,snail,unknown_snail,,,,,shell_length,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
146,MRB-POC05,MRB03,snail,unknown_snail,,,,,shell_length,,,NA,clove,unknown,,,,,,,,,merged from AP community matrix data on 7/6
147,MRB-POC05,MRB03,squat_lobster,GAMA,,,,,carapace_length,,,NA,clove,known,,USL 2,y,14-Nov,AP,ZSP,unknown_squat,72,merged from AP community matrix data on 7/6
148,MRB-POC06,MRB03,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
149,MRB-POC06,MRB03,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,clove,known,,,,,,,,,merged from AP community matrix data on 7/6
150,MRB-POC06,MRB03,shrimp,ALLO,alpheidae,alpheus,lottini,,rostrum_to_tail,,,NA,smash,known,,,,,,,,,merged from AP community matrix data on 7/6
151,MRB-POC06,MRB03,clear_shrimp,HADE,,,,,rostrum_to_tail,,,NA,clove,known,,US 76,,15-Nov,AP,JC,clear_shrimp,74,merged from AP community matrix data on 7/6
