master_sort,old_sort,coral_id,site,code,type,search_term,cafi_size_mm,measurement,alt_size_mm,alt_measurement,extraction_method,photo_num,id_certainty,general_notes,identification_notes,revised_yn,revision_date,identified_by,revised_by,previous_name,worms_id,lowest_level,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,species
11,11,MRB-POC01,MRB01,TRSE,crab,Trapezia serenei,,carapace_width,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
12,12,MRB-POC01,MRB01,OPHI,echinoderm,Ophiuroidea,,disc_width,,arm_length,clove,no photo,uncertain,merged from AP community matrix data on 7/6; no photo,,y,5/13/2020,,JC,unknown_brittle,123084,class,Echinodermata,Asterozoa,NA,Ophiuroidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13,MRB-POC01,MRB01,ALPA,shrimp,Alpheus pachychirus,,rostrum_to_tail,,,clove,US 21,revision_possible,merged from AP community matrix data on 7/6,Using claw to distinguish from A. clypeatus; green dots in open spaces,y,31-Oct,AP,AP,unk_shrimp,210547,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus pachychirus
14,14,MRB-POC02,MRB01,ALLO,shrimp,Alpheus lottini,,rostrum_to_tail,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
15,15,MRB-POC02,MRB01,ALLO,shrimp,Alpheus lottini,,rostrum_to_tail,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
16,16,MRB-POC02,MRB01,CAMA,fish,Caracanthus maculatus,,total_length,,standard_length,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,220364,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Scorpaeniformes,Scorpaenoidei,NA,NA,Scorpaenidae,Caracanthinae,Caracanthus,Caracanthus maculatus
17,17,MRB-POC02,MRB01,CAMA,fish,Caracanthus maculatus,,total_length,,standard_length,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,220364,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Scorpaeniformes,Scorpaenoidei,NA,NA,Scorpaenidae,Caracanthinae,Caracanthus,Caracanthus maculatus
18,18,MRB-POC02,MRB01,HASP,shrimp,Harpiliopsis spinigera,,rostrum_to_tail,,,clove,US 5,certain,merged from AP community matrix data on 7/6,Red tipped short claw,y,31-Oct; 2020-05-11,JC,AP; JC; JC,clear_shrimp; HADE,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
19,19,MRB-POC02,MRB01,HASP,shrimp,Harpiliopsis spinigera,,rostrum_to_tail,,,clove,US 6,certain,merged from AP community matrix data on 7/6,,y,31-Oct,AP,AP,clear_shrimp,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
20,20,MRB-POC02,MRB01,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,Unknown Shrimp 12,revision_possible,merged from AP community matrix data on 7/6,Bulbous eyes and thick body but no white dots.. ID uncertain,y,5/11/2020,JC,JC,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
21,21,MRB-POC02,MRB01,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 14,certain,merged from AP community matrix data on 7/6,,y,15-Nov,AP,JC,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
22,22,MRB-POC02,MRB01,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 9,certain,merged from AP community matrix data on 7/6,,y,31-Oct,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
23,23,MRB-POC02,MRB01,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 10,certain,merged from AP community matrix data on 7/6,,y,31-Oct,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
24,24,MRB-POC02,MRB01,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 11,certain,merged from AP community matrix data on 7/6,,y,31-Oct,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
25,25,MRB-POC02,MRB01,COMO,snail,Coralliophila monodonta,,total_length,,,clove,,certain,merged from AP community matrix data on 7/6,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
26,26,MRB-POC02,MRB01,PAAR,fish,Paracirrhites arcatus,30,total_length,,standard_length,field,,certain,From field survey,,,,,,,218866,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Percoidei,NA,NA,Cirrhitidae,NA,Paracirrhites,Paracirrhites arcatus
27,27,MRB-POC02,MRB01,POCH,worm,Polychaeta,,total_length,,,clove,no photo,certain,merged from AP community matrix data on 7/6,"no photo, further ID not possible",y,5/15/2020,,JC,polychaete,883,class,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,28,MRB-POC02,MRB01,TRAR,crab,Trapezia areolata,,carapace_width,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,443874,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia areolata
29,29,MRB-POC02,MRB01,TRBI,crab,Trapezia bidentata,,carapace_width,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,443875,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia bidentata
30,30,MRB-POC02,MRB01,TRBI,crab,Trapezia bidentata,,carapace_width,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,443875,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia bidentata
31,31,MRB-POC02,MRB01,TRBI,crab,Trapezia bidentata,,carapace_width,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,443875,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia bidentata
32,32,MRB-POC02,MRB01,TRBI,crab,Trapezia bidentata,,carapace_width,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,443875,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia bidentata
33,33,MRB-POC02,MRB01,TRSE,crab,Trapezia serenei,,carapace_width,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
34,34,MRB-POC02,MRB01,TRSE,crab,Trapezia serenei,,carapace_width,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
35,35,MRB-POC02,MRB01,TRTI,crab,Trapezia tigrina,,carapace_width,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,210186,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia tigrina
36,36,MRB-POC02,MRB01,SYCH,shrimp,Synalpheus charon,,rostrum_to_tail,,,clove,Unknown shrimp 13,revision_possible,merged from AP community matrix data on 7/6,"Red opaque shell, dark spots, very zig zaggy claw; worth getting expert opinion in case some are ALSI",y,2020-05-22,JC,JC,possible_SYCH,210494,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Synalpheus,Synalpheus charon
37,37,MRB-POC02,MRB01,ALPH,shrimp,Alpheidae,,rostrum_to_tail,,,clove,Unknown shrimp 16,revision_possible,merged from AP community matrix data on 7/6,"Very challenging to ID without claws, even to genus",,,,,,106776,family,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,NA,NA
38,38,MRB-POC02,MRB01,TRSE,crab,Trapezia serenei,,carapace_width,,,clove,UC 8,certain,merged from AP community matrix data on 7/6,,y,31-Oct,AP,AP,unknown_crab,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
39,39,MRB-POC02,MRB01,HERM,hermit,Paguroidea,,carapace_length,,,clove,no photo,uncertain,merged from AP community matrix data on 7/6,can't know family without photo,y,5/14/2020,,JC,unknown_hermit,106687,superfamily,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,NA,NA,NA,NA
40,39.1,MRB-POC02,MRB01,ATDJ,shrimp,Athanas djiboutensis,,rostrum_to_tail,,,clove,Unknown shrimp 7,revision_possible,"created based on presence of photo, not recorded in original data","Consistent markings with other ATDJ IDs, but not sure if can be certain to species; Athanas species difficult to distinguish, but genus is likely to be correct",NA,5/7/2020,JC,JC,NA,210466,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Athanas,Athanas djiboutensis
41,39.2,MRB-POC02,MRB01,ATDJ,shrimp,Athanas djiboutensis,,rostrum_to_tail,,,clove,Unknown shrimp 15,revision_possible,"created based on presence of photo, not recorded in original data","Consistent markings with other ATDJ IDs, but not sure if can be certain to species; Athanas species difficult to distinguish, but genus is likely to be correct",NA,5/7/2020,JC,JC,NA,210466,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Athanas,Athanas djiboutensis
42,39.3,MRB-POC02,MRB01,HIPP,shrimp,Hippolytidae,,rostrum_to_tail,,,clove,Unknown Shrimp 8,revision_possible,"created based on presence of photo, not recorded in original data","Dark bands on lower abdomen and telson, distinct red lines with red spots, skinny brown banded claws, can't quite see spike mohawk so could be different HIPP species; unknown species but distinct coloration, dark bands on legs, spike mohawk, could be Thor amboinensis but no ref photos have obvious bands on walking legs",NA,5/7/2020; 2020-05-22,JC,JC; JC,NA,106777,family,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Hippolytidae,NA,NA,NA
43,40,MRB-POC03,MRB02,ALLO,shrimp,Alpheus lottini,,rostrum_to_tail,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
44,41,MRB-POC03,MRB02,ALLO,shrimp,Alpheus lottini,,rostrum_to_tail,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
45,42,MRB-POC03,MRB02,HABE,shrimp,Harpiliopsis beaupresii,,rostrum_to_tail,,,clove,US 22,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos","Smooth claws, disordered patterns on abdomen, dots on claws",y,14-Nov; 2020-05-11,JC,AP; JC; JC,clear_shrimp; HADE,220132,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis beaupresii
46,43,MRB-POC03,MRB02,HABE,shrimp,Harpiliopsis beaupresii,,rostrum_to_tail,,,clove,US 23,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos","Smooth claws, disordered patterns on abdomen, dots on claws",y,14-Nov; 2020-05-11,JC,AP; JC; JC,clear_shrimp; HADE,220132,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis beaupresii
47,44,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 24,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
48,45,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 25,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
49,46,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 26,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
50,47,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 27,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
51,48,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 28,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
52,49,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 29,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
53,50,MRB-POC03,MRB02,PESP,shrimp,Periclimenes,,rostrum_to_tail,,,clove,US 30,revision_possible,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",Too skinny for a FECH,y,14-Nov; 2020-05-11,JC,AP; JC; JC,clear_shrimp; FECH,107035,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Periclimenes,NA
54,51,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 31,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
55,52,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 32,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
56,53,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 33,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
57,54,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 34,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
58,55,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 35,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
59,56,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 36,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
60,57,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 37,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
61,58,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 38,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
62,59,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 39,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
63,60,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 40,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
64,61,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 41,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
65,62,MRB-POC03,MRB02,FECH,shrimp,Fennera chacei,,rostrum_to_tail,,,clove,US 42,certain,"merged from AP community matrix data on 7/6; 30 photos but only 26 clear_shrimp, likely duplicate photos",,y,14-Nov,AP,AP,clear_shrimp,220125,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Fennera,Fennera chacei
