order,coral_id,site,type,code,family,genus,species,count,cafi_size_mm,measurement,alt_size_mm,alt_measurement,cafi_weight,extraction_method,known_unknown,predicted_family,photo_num,notes,
51,FE-POC59,,snail,tan_long_spiral_snail,,,,1,,,,,,,unknown,,unknown miscellaneous 59,,
52,FE-POC59,,snail,LIMP,,,,1,,,,,,,known,,unknown miscellaneous 59,,
53,FE-POC59,,worm,black_worm,,,,1,,,,,,,unknown,,unknown miscellaneous 59,,
54,FE-POC60,,shrimp,ALLO,,,,1,,,,,,,known,,,gravid,
55,FE-POC60,,snail,LIMP,,,,2,,,,,,,known,,unknown snails and worm 60,,
56,FE-POC60,,worm,leopard_fireworm,,,,1,,,,,,,unknown,,unknown snails and worm 60,,
57,FE-POC60,,hermit,clear_w_orange_hermit,,,,2,,,,,,,unknown,,unknown snails and worm 60,,
58,FE-POC60,,clear_shrimp,skinny_harpiliopsis,,,,1,,,,,,,unknown,,unknown shrimp and HADE 60,,
59,FE-POC60,,clear_shrimp,HADE,,,,1,,,,,,,known,,unknown shrimp and HADE 60,check number?,
60,FE-POC03D,,shrimp,ALPA,,,,1,,,,,,,known,,ALPA 03D,,
61,FE-POC03D,,crab,PETU,,,,1,,,,,,,known,,PETU 03D,,
62,FE-POC03D,,crab,spikey_crab,,,,1,,,,,,,unknown,,unknown hermits & crab 03D,,
63,FE-POC03D,,hermit,clear_w_orange_hermit,,,,4,,,,,,,unknown,,unknown hermits & crab 03D,,
64,FE-POC03D,,snail,zebra_snail,,,,1,,,,,,,unknown,,unknown snail & shrimp 03D,,
65,FE-POC03D,,shrimp,digit_alpheid_shrimp,,,,1,,,,,,,unknown,,unknown snail & shrimp 03D,,
66,FE-POC03D,,clear_shrimp,skinny_harpiliopsis,,,,1,,,,,,,unknown,,unknown snail & shrimp 03D,,
67,FE-POC03D,,shrimp,unidentifiable_shrimp,,,,1,,,,,,,unknown,,unknown snail & shrimp 03D,,
68,FE-POC03D,,worm,brown_polychaete,,,,1,,,,,,,unknown,,unknown miscellaneous 03D,,
69,FE-POC03D,,amphipod,speckled_amphipod,,,,1,,,,,,,unknown,,unknown miscellaneous 03D,,
70,FE-POC03D,,echinoderm,sunkist_brittle,,,,1,,,,,,,unknown,,unknown miscellaneous 03D,,
71,FE-POC03D,,echinoderm,sandpaper_brittle,,,,1,,,,,,,unknown,,unknown miscellaneous 03D,,
72,FE-POC09D,,worm,leopard_fireworm,,,,1,,,,,,,unknown,,unknown worm 09D,,
73,FE-POC16D,,crab,PETU,,,,2,,,,,,,known,,some crabs 16D,,
74,FE-POC16D,,crab,TRSE,,,,1,,,,,,,known,,some crabs 16D,,
75,FE-POC16D,,crab,blue_crab,,,,1,,,,,,,unknown,,some crabs 16D,,
76,FE-POC16D,,squat_lobster,GAMA,,,,1,,,,,,,known,,unknown shrimp and squat 16D,,
77,FE-POC16D,,shrimp,possible_ALDI,,,,1,,,,,,,unknown,,unknown snails and hermits 16D,,
78,FE-POC16D,,hermit,clear_w_orange_hermit,,,,8,,,,,,,unknown,,unknown snails and hermits 16D,,
79,FE-POC16D,,snail,red_dot_curl_snail,,,,1,,,,,,,unknown,,unknown snails and hermits 16D,,changed from red_spot_white_snail
80,FE-POC16D,,snail,long_black_snail,,,,1,,,,,,,unknown,,unknown snails and hermits 16D,,
81,FE-POC16D,,clear_shrimp,thicc_harpiliopsis,,,,6,,,,,,,unknown,,unknown shrimps 16D,,
82,FE-POC16D,,shrimp,possible_ALCO,,,,1,,,,,,,unknown,,unknown shrimps 16D,juvenile,
83,FE-POC16D,,clear_shrimp,HADE,,,,5,,,,,,,known,,HADE 16D,one gravid,
84,FE-POC18D,,clear_shrimp,HADE,,,,2,,,,,,,known,,HADEs 18D,one gravid,
85,FE-POC18D,,shrimp,ATDJ,,,,1,,,,,,,known,,unknown shrimps 18D,,
86,FE-POC18D,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,unknown shrimps 18D,,
87,FE-POC18D,,worm,leopard_fireworm,,,,2,,,,,,,unknown,,unknown worms and amphipods 18D,,
88,FE-POC18D,,amphipod,red_eye_yellow_amphipod,,,,1,,,,,,,unknown,,unknown worms and amphipods 18D,,
89,FE-POC18D,,hermit,clear_w_orange_hermit,,,,10,,,,,,,unknown,,unknown hermits 18D,,
90,FE-POC24D,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,possible_SYCH 24D,one gravid,
91,FE-POC24D,,clear_shrimp,HASP,,,,4,,,,,,,known,,HASPSs 24D,,
92,FE-POC24D,,snail,LIMP,,,,4,,,,,,,known,,snails and unknown hermits 24D,,
93,FE-POC24D,,hermit,clear_w_orange_hermit,,,,2,,,,,,,unknown,,snails and unknown hermits 24D,,
94,FE-POC25D,,fish,striped_fish,,,,1,,,,,,,unknown,,unknown fish and shrimps 25D,,
95,FE-POC25D,,clear_shrimp,skinny_harpiliopsis,,,,2,,,,,,,unknown,,unknown fish and shrimps 25D,,
96,FE-POC25D,,hermit,clear_w_orange_hermit,,,,9,,,,,,,unknown,,unknown hermits 25D,,
97,FE-POC31D,,shrimp,possible_SYCH,,,,1,,,,,,,unknown,,unknown shrimps 31D,gravid,
98,FE-POC31D,,shrimp,possible_ALDO,,,,1,,,,,,,unknown,,unknown shrimps 31D,one gravid,
99,FE-POC31D,,clear_shrimp,HASP,,,,2,,,,,,,known,,HASPs 31D,,
100,FE-POC31D,,clear_shrimp,thicc_harpiliopsis,,,,1,,,,,,,unknown,,unknown shrimps and fish 31D,,
101,FE-POC31D,,shrimp,possible_ALDO,,,,1,,,,,,,unknown,,unknown shrimps and fish 31D,,
102,FE-POC31D,,fish,squished_fish,,,,1,,,,,,,unknown,,unknown shrimps and fish 31D,,
103,FE-POC31D,,snail,LIMP,,,,1,,,,,,,known,,snail and unknown hermits 31D,,
104,FE-POC31D,,hermit,possible_CALT,,,,1,,,,,,,unknown,,snail and unknown hermits 31D,,
105,FE-POC31D,,hermit,clear_w_orange_hermit,,,,8,,,,,,,unknown,,unknown hermits 31D,,
106,FE-POC39D,,echinoderm,ECMA,,,,1,,,,,,,known,,unknown urchin 39D,,
107,FE-POC39D,,clear_shrimp,HADE,,,,2,,,,,,,known,,HADEs 39D,one gravid,
108,FE-POC39D,,hermit,clear_w_orange_hermit,,,,7,,,,,,,unknown,,unknown snail and hermits 39D,,
109,FE-POC39D,,snail,salt_and_pepper_snail,,,,1,,,,,,,unknown,,unknown snail and hermits 39D,,
110,FE-POC39D,,clear_shrimp,striped_harpiliopsis,,,,1,,,,,,,unknown,,unknown shrimps and ATDJs 39D,,
111,FE-POC39D,,shrimp,ATDJ,,,,2,,,,,,,known,,unknown shrimps and ATDJs 39D,one gravid,
112,FE-POC31,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,possible_SYCHs 31A,,
113,FE-POC31,,clear_shrimp,HASP,,,,2,,,,,,,known,,HASPs 31A,,
114,FE-POC31,,amphipod,red_eye_yellow_amphipod,,,,3,,,,,,,unknown,,unknown shrimp and amphs 31A,,
115,FE-POC31,,amphipod,clear_w_brown_eyes_amphipod,,,,3,,,,,,,unknown,,unknown shrimp and amphs 31A,,
116,FE-POC31,,clear_shrimp,skinny_harpiliopsis,,,,1,,,,,,,unknown,,unknown shrimp and amphs 31A,,
117,FE-POC31,,clear_shrimp,thicc_harpiliopsis,,,,4,,,,,,,unknown,,unknown shrimp and amphs 31A,gravid,
118,FE-POC31,,fish,leopard_head_goby,,,,1,,,,,,,unknown,,unknown shrimp and amphs 31A,,
119,FE-POC31,,snail,weird_green_slug,,,,1,,,,,,,unknown,,unknown shrimp and amphs 31A,,
120,FE-POC34,,clear_shrimp,HASP,,,,2,,,,,,,known,,HASPs and unknown shrimp 34,,
121,FE-POC34,,clear_shrimp,thicc_harpiliopsis,,,,1,,,,,,,unknown,,HASPs and unknown shrimp 34,,
122,FE-POC45,,worm,unknown_worm,,,,1,,,,,,,unknown,,unknown worm and brittle 45,,
123,FE-POC45,,echinoderm,unknown_brittle,,,,1,,,,,,,unknown,,unknown worm and brittle 45,,
124,FE-POC50,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,unknown snail and shrimp 50,,
125,FE-POC50,,snail,xmas_round_snail,,,,1,,,,,,,unknown,,unknown snail and shrimp 50,,
126,FE-POC33,,hermit,CALT,,,,1,,,,,,,known,,unknown hermits and fish 33,,
127,FE-POC33,,clear_shrimp,thicc_harpiliopsis,,,,16,,,,,,,unknown,,unknown clear shrimp 33,,
128,FE-POC33,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,unknown shrimps 33,one gravid,
129,FE-POC33,,fish,red_goby,,,,1,,,,,,,unknown,,unknown hermits and fish 33,,
130,FE-POC33,,hermit,clear_w_orange_hermit,,,,10,,,,,,,unknown,,unknown hermits and fish 33,,
131,FE-POC38,,clear_shrimp,HADE,,,,3,,,,,,,known,,HADEs 38,one gravid,
132,FE-POC38,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,possible SYCHs 38,one gravid,
133,FE-POC38,,hermit,clear_orange_hermit,,,,5,,,,,,,unknown,,unknown hermits 38,,
134,FE-POC16,,clear_shrimp,skinny_harpiliopsis,,,,1,,,,,,,unknown,,unknown shrimp and brittle 16A,,
135,FE-POC16,,echinoderm,sandstorm_brittle,,,,1,,,,,,,unknown,,unknown shrimp and brittle 16A,,
136,FE-POC18,,clear_shrimp,HADE,,,,2,,,,,,,known,,HADEs 18A,one gravid,
137,FE-POC18,,shrimp,ALLO,,,,1,,,,,,,known,,ALLO and ALPA 18A,,
138,FE-POC18,,shrimp,ALPA,,,,1,,,,,,,known,,ALLO and ALPA 18A,,
139,FE-POC24,,shrimp,possible_SYCH,,,,1,,,,,,,unknown,,SYCH 24A,,
140,FE-POC24,,clear_shrimp,HASP,,,,2,,,,,,,known,,HASPs 24A,,
141,FE-POC25,,shrimp,ALLO,,,,1,,,,,,,known,,ALLO 25A,gravid,
142,FE-POC25,,shrimp,possible_ALDO,,,,1,,,,,,,unknown,,unknown snails shrimps and hermits 25A,,
143,FE-POC25,,clear_shrimp,skinny_harpiliopsis,,,,1,,,,,,,unknown,,unknown snails shrimps and hermits 25A,,
144,FE-POC25,,hermit,clear_w_orange_spot_hermit,,,,5,,,,,,,unknown,,unknown snails shrimps and hermits 25A,,
145,FE-POC25,,snail,zebra_curl_snail,,,,1,,,,,,,unknown,,unknown snails shrimps and hermits 25A,,
146,FE-POC25,,snail,red_dot_curl_snail,,,,1,,,,,,,unknown,,unknown snails shrimps and hermits 25A,,
147,FE-POC26,,echinoderm,gray_long_leg_brittle,,,,1,,,,,,,unknown,,unknown brittle 26,,
148,FE-POC27,,amphipod,clear_w_black_eyes_amphipod,,,,1,,,,,,,unknown,,unknown amphipod 27,,
149,FE-POC29,,echinoderm,OPER,,,,1,,,,,,,known,,OPER 29,,
150,FE-POC29,,fish,longboi_eel_fish,,,,1,,,,,,,unknown,,unknown fish 29,,
151,FE-POC30,,shrimp,possible_SYCH,,,,1,,,,,,,unknown,,unknown miscellaneous 30,,
152,FE-POC30,,clear_shrimp,thicc_harpiliopsis,,,,2,,,,,,,unknown,,unknown miscellaneous 30,,
153,FE-POC30,,amphipod,brown_clear_amphipod,,,,1,,,,,,,unknown,,unknown miscellaneous 30,,
154,FE-POC30,,fish,leopard_head_goby,,,,1,,,,,,,unknown,,unknown miscellaneous 30,,
155,FE-POC30,,hermit,clear_w_orange_hermit,,,,1,,,,,,,unknown,,unknown miscellaneous 30,,
156,FE-POC02,,snail,tan_spiral_snail,,,,5,,,,,,,unknown,,unknown snails 02,,
157,FE-POC02,,snail,red_spiral_snail,,,,1,,,,,,,unknown,,unknown snails 02,,
158,FE-POC02,,snail,white_shell_brown_spots_snail,,,,1,,,,,,,unknown,,unknown snails 02,,
159,FE-POC03,,crab,PETU,,,,1,,,,,,,known,,known crab 03,,
160,FE-POC03,,clear_shrimp,HASP,,,,1,,,,,,,known,,known clear shrimp 03,,
161,FE-POC03,,amphipod,red_eye_yellow_amphipod,,,,3,,,,,,,unknown,,unknown shrimp and amphipod 03,,
162,FE-POC03,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,unknown shrimp and amphipod 03,,
163,FE-POC03,,clear_shrimp,thicc_harpiliopsis,,,,1,,,,,,,unknown,,unknown shrimp and amphipod 03,,
164,FE-POC10,,crab,PETU,,,,1,,,,,,,known,,unknown shrimp and amphipod 03,,
165,FE-POC11,,clear_shrimp,HASP,,,,3,,,,,,,known,,knowns 11A,,
166,FE-POC11,,crab,PETU,,,,1,,,,,,,known,,knowns 11A,,
167,FE-POC11,,snail,LIMP,,,,1,,,,,,,known,,knowns 11A,,
168,FE-POC11,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,unknown shrimps and amphipods 11A,,
169,FE-POC11,,clear_shrimp,big_eye_clear_shrimp,,,,2,,,,,,,unknown,,unknown shrimps and amphipods 11A,,
170,FE-POC11,,amphipod,red_eye_yellow_amphipod,,,,1,,,,,,,unknown,,unknown shrimps and amphipods 11A,,
171,FE-POC09,,hermit,clear_w_orange_hermit,,,,4,,,,,,,unknown,,unknown hermits and snail 09A,,
172,FE-POC09,,snail,regular_curl_snail,,,,1,,,,,,,unknown,,unknown hermits and snail 09A,,
173,FE-POC09,,shrimp,possible_SYCH,,,,2,,,,,,,unknown,,unknown hermits and snail 09A,one gravid,
174,FE-POC12,,crab,brown_spikey_crab,,,,1,,,,,,,unknown,,unknown crab 12,possible juvenile,
175,FE-POC12,,hermit,clear_w_orange_hermit,,,,7,,,,,,,unknown,,unknown hermits and snails 12,,
176,FE-POC12,,snail,LIMP,,,,4,,,,,,,known,,unknown hermits and snails 12,,
177,FE-POC12,,clear_shrimp,thicc_harpiliopsis,,,,1,,,,,,,unknown,,unknown hermits and snails 12,gravid,
178,FE-POC45,,crab,TRSE,,,,3,,,,,,,known,,,one gravid,
179,FE-POC45,,shrimp,ALLO,,,,2,,,,,,,known,,,one gravid,
180,FE-POC45,,clear_shrimp,HADE,,,,3,,,,,,,known,,,one gravid,
181,FE-POC45,,fish,PALA,,,,1,,,,,,,known,,,,
182,FE-POC30,,crab,TRSE,,,,5,,,,,,,known,,,one gravid,
183,FE-POC30,,clear_shrimp,HASP,,,,2,,,,,,,known,,,one gravid,
184,FE-POC30,,shrimp,ALLO,,,,1,,,,,,,known,,,,
185,FE-POC30,,hermit,CALA,,,,1,,,,,,,known,,,,
186,FE-POC30,,fish,PAMO,,,,1,,,,,,,known,,,,
187,FE-POC09,,crab,TRSE,,,,2,,,,,,,known,,,one gravid,
188,FE-POC09,,crab,TRBI,,,,3,,,,,,,known,,,,
189,FE-POC09,,shrimp,ALLO,,,,2,,,,,,,known,,,one gravid,
190,FE-POC09,,clear_shrimp,HADE,,,,4,,,,,,,known,,,one gravid,
191,FE-POC09,,fish,PSHE,,,,1,,,,,,,known,,,,
192,FE-POC33,,shrimp,ALLO,,,,2,,,,,,,known,,,,
193,FE-POC33,,crab,TRSE,,,,4,,,,,,,known,,,,
194,FE-POC33,,clear_shrimp,HADE,,,,8,,,,,,,known,,,,
195,FE-POC33,,fish,PAAR,,,,1,,,,,,,known,,,,
196,FE-POC33,,echinoderm,OPPI,,,,1,,,,,,,known,,,,
197,FE-POC01,,worm,unknown_polychaete,,,,4,,,,,,,unknown,,unknown worms 01,,
198,FE-POC01,,snail,salt_and_pepper_snail,,,,1,,,,,,,unknown,,unknown snail and possible SYCH 01,,
199,FE-POC01,,shrimp,possible_SYCH,,,,1,,,,,,,unknown,,unknown snail and possible SYCH 01,,
200,FE-POC38,,snail,LIMP,,,,4,,,,,,,known,,,"not retained, observed in field",
201,FE-POC09,,snail,LIMP,,,,2,,,,,,,known,,,"not retained, observed in field",
202,FE-POC59,,snail,LIMP,,,,4,,,,,,,known,,,"not retained, observed in field",
203,FE-POC59,,crab,TRBI,,,,1,,,,,,,known,,,"not retained, observed in field",
204,FE-POC59,,crab,TRTI,,,,1,,,,,,,known,,,"not retained, observed in field",
205,FE-POC59,,echinoderm,OPPI,,,,1,,,,,,,known,,,"not retained, observed in field",
206,FE-POC59,,hermit,CANI,,,,2,,,,,,,known,,,"not retained, observed in field",
207,FE-POC31D,,snail,LIMP,,,,1,,,,,,,known,,,"not retained, observed in field",
208,FE-POC01,,fish,CAMA,,,,2,,,,,,,known,,,,
209,FE-POC01,,fish,PAMO,,,,2,,,,,,,known,,,,
210,FE-POC01,,shrimp,ALLO,,,,2,,,,,,,known,,,1 gravid,
211,FE-POC01,,crab,TRBI,,,,2,,,,,,,known,,,,
212,FE-POC01,,crab,TRSE,,,,4,,,,,,,known,,,1 gravid,
213,FE-POC01,,snail,LIMP,,,,1,,,,,,,known,,,,
214,FE-POC02,,crab,TRSE,,,,3,,,,,,,known,,,,
215,FE-POC02,,fish,PAMO,,,,2,,,,,,,known,,,,
216,FE-POC02,,squat_lobster,GAMA,,,,1,,,,,,,known,,,,
217,FE-POC03D,,clear_shrimp,HADE,,,,2,,,,,,,known,,,1 gravid,
218,FE-POC09D,,shrimp,ALLO,,,,3,,,,,,,known,,,,
219,FE-POC09D,,amphipod,red_eye_yellow_amphipod,,,,5,,,,,,,unknown,,,no photo,
220,FE-POC09D,,clear_shrimp,HADE,,,,2,,,,,,,known,,,,
221,FE-POC09D,,crab,TRBI,,,,3,,,,,,,known,,,,
222,FE-POC09D,,crab,TRSE,,,,3,,,,,,,known,,,,
223,FE-POC09D,,squat_lobster,GAMA,,,,3,,,,,,,known,,,,
224,FE-POC09D,,squat_lobster,rosy_squat_lobster,,,,1,,,,,,,unknown,,,no photo,
225,FE-POC09D,,fish,CAMA,,,,1,,,,,,,known,,,,
226,FE-POC09D,,fish,PSHE,,,,1,,,,,,,known,,,,
227,FE-POC09D,,hermit,CANI,,,,1,,,,,,,known,,,,
228,FE-POC09D,,hermit,CALT,,,,5,,,,,,,known,,,,
229,FE-POC09D,,hermit,orange_clear_hermit,,,,1,,,,,,,unknown,,,,
230,FE-POC09D,,snail,LIMP,,,,1,,,,,,,known,,,,
231,FE-POC09D,,echinoderm,snakeskin_brittle,,,,1,,,,,,,unknown,,,no photo,
232,FE-POC09D,,echinoderm,ECMA,,,,2,,,,,,,known,echinometra mathaei,,,
233,FE-POC10D,,crab,TRSE,,,,2,,,,,,,known,,,,
234,FE-POC10D,,shrimp,ALLO,,,,1,,,,,,,known,,,,
235,FE-POC10D,,hermit,CANI,,,,1,,,,,,,known,,,,
236,FE-POC11D,,shrimp,ALLO,,,,1,,,,,,,known,,,,
237,FE-POC11D,,clear_shrimp,HADE,,,,1,,,,,,,known,,,,
238,FE-POC11D,,crab,TRSE,,,,2,,,,,,,known,,,juveniles,
239,FE-POC12,,crab,TRBI,,,,2,,,,,,,known,,,,
240,FE-POC12,,crab,TRSE,,,,4,,,,,,,known,,,,
241,FE-POC12,,clear_shrimp,HASP,,,,2,,,,,,,known,,,,
242,FE-POC12,,fish,PAMO,,,,2,,,,,,,known,,,,
243,FE-POC12,,snail,LIMP,,,,1,,,,,,,known,,,,
244,FE-POC16D,,shrimp,ALLO,,,,2,,,,,,,known,,,,
245,FE-POC16D,,hermit,CANI,,,,5,,,,,,,known,,,,
246,FE-POC16D,,crab,TRBI,,,,2,,,,,,,known,,,,
247,FE-POC16D,,crab,TRSE,,,,3,,,,,,,known,,,,
248,FE-POC16D,,echinoderm,MALO,,,,1,,,,,,,known,,,,
249,FE-POC31,,fish,PAAR,,,,1,,,,,,,known,,,,
250,FE-POC31,,fish,CAMA,,,,3,,,,,,,known,,,,
251,FE-POC31,,fish,PALA,,,,1,,,,,,,known,,,,
252,FE-POC31,,fish,PAMO,,,,3,,,,,,,known,,,,
253,FE-POC31,,shrimp,ALLO,,,,3,,,,,,,known,,,,
254,FE-POC31,,crab,TRBI,,,,3,,,,,,,known,,,,
255,FE-POC31,,crab,TRSE,,,,4,,,,,,,known,,,,
256,FE-POC27,,crab,TRSE,,,,2,,,,,,,known,,,gravid,
257,FE-POC27,,shrimp,ALLO,,,,1,,,,,,,known,,,,
258,FE-POC24,,crab,TRAR,,,,1,,,,,,,known,,,,
259,FE-POC24,,crab,TRSE,,,,2,,,,,,,known,,,gravid,
260,FE-POC24,,snail,LIMP,,,,2,,,,,,,known,,,,
261,FE-POC24,,shrimp,ALLO,,,,1,,,,,,,known,,,,
262,FE-POC24,,fish,CAMA,,,,2,,,,,,,known,,,,
263,FE-POC24,,fish,NEAR,,,,1,,,,,,,known,,,,
264,FE-POC40,,crab,TRSE,,,,2,,,,,,,known,,,,
265,FE-POC40,,shrimp,ALLO,,,,1,,,,,,,known,,,gravid,
266,FE-POC41,,fish,CAMA,,,,4,,,,,,,known,,,,
267,FE-POC41,,fish,NEAR,,,,2,,,,,,,known,,,,
268,FE-POC41,,fish,PALA,,,,2,,,,,,,known,,,,
269,FE-POC41,,crab,TRBI,,,,5,,,,,,,known,,,,
270,FE-POC41,,crab,TRSE,,,,8,,,,,,,known,,,1 gravid,
271,FE-POC41,,crab,TRAR,,,,2,,,,,,,known,,,1 gravid,
272,FE-POC41,,snail,LIMP,,,,1,,,,,,,known,,,,
273,FE-POC41,,crab,PETU,,,,1,,,,,,,known,,,,
274,FE-POC41,,shrimp,ALLO,,,,1,,,,,,,known,,,,
275,FE-POC39,,shrimp,ALLO,,,,2,,,,,,,known,,,1 gravid,
276,FE-POC39,,crab,TRSP,,,,1,,,,,,,known,,,,
277,FE-POC39,,hermit,CALT,,,,1,,,,,,,known,,,,
278,FE-POC39,,fish,PSHE,,,,1,,,,,,,known,,,,
279,FE-POC60,,fish,CAMA,,,,3,,,,,,,known,,,,
280,FE-POC60,,crab,TRSE,,,,2,,,,,,,known,,,1 gravid,
281,FE-POC60,,shrimp,ALLO,,,,2,,,,,,,known,,,1 gravid,
282,FE-POC60,,echinoderm,OPPI,,,,1,,,,,,,known,,,,
283,FE-POC60,,snail,LIMP,,,,1,,,,,,,known,,,,
284,FE-POC25,,crab,TRSE,,,,2,,,,,,,known,,,,
285,FE-POC25,,shrimp,ALLO,,,,1,,,,,,,known,,,,
286,FE-POC42,,snail,LIMP,,,,4,,,,,,,known,,,,
287,FE-POC42,,hermit,CALT,,,,1,,,,,,,known,,,,
288,FE-POC42,,shrimp,ALLO,,,,2,,,,,,,known,,,1 gravid,
289,FE-POC42,,hermit,CANI,,,,1,,,,,,,known,,,,
290,FE-POC42,,echinoderm,MALO,,,,1,,,,,,,known,,,,
