coral_id,code,type,search_term,cafi_size_mm,measurement,alt_size_mm,alt_measurement,photo_num,id_certainty,general_notes,identification_notes,worms_id,lowest_level,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,species
FE-POC39,PESP,shrimp,Periclimenes,NA,rostrum_to_tail,NA,,unknown_misc_39A,revision_possible,,,107035,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Periclimenes,NA
FE-POC40,ALLO,shrimp,Alpheus lottini,NA,rostrum_to_tail,NA,,ALLO 40,certain,,,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
FE-POC40,PASP,hermit,Pagurixus,NA,carapace_length,NA,,unknown_misc_40,certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC40,PASP,hermit,Pagurixus,NA,carapace_length,NA,,unknown_misc_40,certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC40,PASP,hermit,Pagurixus,NA,carapace_length,NA,,unknown_misc_40,certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC40,OPSP,echinoderm,Ophiozonella,NA,disc_width,NA,arm_length,unknown_misc_40,revision_possible,,,123573,genus,Echinodermata,Asterozoa,NA,Ophiuroidea,Myophiuroidea,Ophintegrida,Amphilepidida,Ophionereidina,NA,Ophiolepidoidea,Hemieuryalidae,NA,Ophiozonella,NA
FE-POC40,PESP,shrimp,Periclimenes,NA,rostrum_to_tail,NA,,unknown_misc_40,revision_possible,,,107035,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Periclimenes,NA
FE-POC41,SYCH,shrimp,Synalpheus charon,NA,rostrum_to_tail,NA,,possible_SYCH41,revision_possible,,"Red opaque shell, dark spots, very zig zaggy claw; worth getting expert opinion in case some are ALSI",210494,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Synalpheus,Synalpheus charon
FE-POC41,SYCH,shrimp,Synalpheus charon,NA,rostrum_to_tail,NA,,possible_SYCH41,revision_possible,,"Red opaque shell, dark spots, very zig zaggy claw; worth getting expert opinion in case some are ALSI",210494,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Synalpheus,Synalpheus charon
FE-POC41,DOGL,crab,Domecia glabra,NA,carapace_width,NA,,unknown shrimp and crab 41,revision_possible,,"Claw spikes fit, setae on body doesn't, maybe another Domecia? Or just a dirty sample. Body shape, spines don't fit Pilodius, nor does claw",209147,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Domeciidae,NA,Domecia,Domecia glabra
FE-POC41,DOGL,crab,Domecia glabra,NA,carapace_width,NA,,unknown shrimp and crab 41,revision_possible,,"Claw spikes fit, setae on body doesn't, maybe another Domecia? Or just a dirty sample. Body shape, spines don't fit Pilodius, nor does claw",209147,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Domeciidae,NA,Domecia,Domecia glabra
FE-POC41,PASP,hermit,Pagurixus,NA,carapace_length,NA,,unknown misc 41,certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC41,PASP,hermit,Pagurixus,NA,carapace_length,NA,,unknown misc 41,certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC41,PASP,hermit,Pagurixus,NA,carapace_length,NA,,unknown misc 41,certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC41,SIPU,worm,Sipuncula,NA,total_length,NA,,unknown misc 41,uncertain,,"Could be echiuran, and could be mixed. All look very similar, but ID made on extension of body looking more ""worm-like""",1268,phylum,Sipuncula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FE-POC41,POLY,worm,Polynoidae,NA,total_length,NA,,unknown misc 41,certain,,"Several species in here, but all very certainly in Polynoid family. Distinctly spaced parapodia and setae bundles with patterning down back",939,family,Annelida,NA,NA,Polychaeta,Errantia,NA,Phyllodocida,Aphroditiformia,NA,NA,Polynoidae,NA,NA,NA
FE-POC41,TALI,amphipod,Talitridae,NA,rostrum_to_tail,NA,,unknown amph & hermit 41,uncertain,,Mostly going on eye. Alternate ID is Leucothoidae Family,101411,family,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Talitroidea,Talitridae,NA,NA,NA
FE-POC41,TALI,amphipod,Talitridae,NA,rostrum_to_tail,NA,,unknown amph & hermit 41,uncertain,,Mostly going on eye. Alternate ID is Leucothoidae Family,101411,family,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitrida,Talitroidea,Talitridae,NA,NA,NA
FE-POC41,HASP,shrimp,Harpiliopsis spinigera,NA,rostrum_to_tail,NA,,HASPs 41,certain,,,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
FE-POC41,HASP,shrimp,Harpiliopsis spinigera,NA,rostrum_to_tail,NA,,HASPs 41,certain,,,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
FE-POC41,HASP,shrimp,Harpiliopsis spinigera,NA,rostrum_to_tail,NA,,HASPs 41,certain,,,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
FE-POC41,HASP,shrimp,Harpiliopsis spinigera,NA,rostrum_to_tail,NA,,HASPs 41,certain,,,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
FE-POC41,HASP,shrimp,Harpiliopsis spinigera,NA,rostrum_to_tail,NA,,HASPs 41,certain,,,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
FE-POC41,HASP,shrimp,Harpiliopsis spinigera,NA,rostrum_to_tail,NA,,HASPs 41,certain,,,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
FE-POC41,HASP,shrimp,Harpiliopsis spinigera,NA,rostrum_to_tail,NA,,HASPs 41,certain,,,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
FE-POC41,HASP,shrimp,Harpiliopsis spinigera,NA,rostrum_to_tail,NA,,HASPs 41,certain,,,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
FE-POC41,HADE,shrimp,Harpiliopsis depressa,NA,rostrum_to_tail,NA,,HADEs 41,revision_possible,,"Agree with HADE, though hard to say given angle of photo and degradation from ethanol. Claw looks yellow tipped and zig-zaggy, and lines are much more distinct on carapace than HABE",220131,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis depressa
FE-POC41,HADE,shrimp,Harpiliopsis depressa,NA,rostrum_to_tail,NA,,HADEs 41,revision_possible,,"Agree with HADE, though hard to say given angle of photo and degradation from ethanol. Claw looks yellow tipped and zig-zaggy, and lines are much more distinct on carapace than HABE",220131,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis depressa
FE-POC42,HASP,shrimp,Harpiliopsis spinigera,NA,rostrum_to_tail,NA,,HASP & ALPA 42,certain,,,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
FE-POC42,ALPA,shrimp,Alpheus pachychirus,NA,rostrum_to_tail,NA,,HASP & ALPA 42,revision_possible,,,210547,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus pachychirus
FE-POC42,SYCH,shrimp,Synalpheus charon,NA,rostrum_to_tail,NA,,possiblle SYCH 42,revision_possible,,"Red opaque shell, dark spots, very zig zaggy claw; worth getting expert opinion in case some are ALSI",210494,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Synalpheus,Synalpheus charon
FE-POC42,SYCH,shrimp,Synalpheus charon,NA,rostrum_to_tail,NA,,possiblle SYCH 42,revision_possible,,"Red opaque shell, dark spots, very zig zaggy claw; worth getting expert opinion in case some are ALSI",210494,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Synalpheus,Synalpheus charon
FE-POC42,PASP,hermit,Pagurixus,NA,carapace_length,NA,,"unknown hermits, worm, and brittle 42",certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC42,PASP,hermit,Pagurixus,NA,carapace_length,NA,,"unknown hermits, worm, and brittle 42",certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC42,PASP,hermit,Pagurixus,NA,carapace_length,NA,,"unknown hermits, worm, and brittle 42",certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC42,PASP,hermit,Pagurixus,NA,carapace_length,NA,,"unknown hermits, worm, and brittle 42",certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC42,PASP,hermit,Pagurixus,NA,carapace_length,NA,,"unknown hermits, worm, and brittle 42",certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC42,PASP,hermit,Pagurixus,NA,carapace_length,NA,,"unknown hermits, worm, and brittle 42",certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC42,PASP,hermit,Pagurixus,NA,carapace_length,NA,,"unknown hermits, worm, and brittle 42",certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC42,PASP,hermit,Pagurixus,NA,carapace_length,NA,,"unknown hermits, worm, and brittle 42",certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC42,PASP,hermit,Pagurixus,NA,carapace_length,NA,,"unknown hermits, worm, and brittle 42",certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC42,PASP,hermit,Pagurixus,NA,carapace_length,NA,,"unknown hermits, worm, and brittle 42",certain,,"All small, clear with varying orange patterns, not all (if any) Idable to species. Some may not be Pagurixus, can't see in shells, but appears to be most common genus in Family so it's a reasonable guess",204996,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Paguroidea,Paguridae,NA,Pagurixus,NA
FE-POC42,POCH,worm,Polychaeta,NA,total_length,NA,,"unknown hermits, worm, and brittle 42",revision_possible,,"Big dark eyes could be Nereid, but not much to go on",883,class,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FE-POC42,OPPE,echinoderm,Ophioconis permixta,NA,disc_width,NA,arm_length,"unknown hermits, worm, and brittle 42",revision_possible,,"Texture looks right, bumpy disc, reddish palette, medium arm spines",238160,species,Echinodermata,Asterozoa,NA,Ophiuroidea,Myophiuroidea,Ophintegrida,Ophiacanthida,Ophiodermatina,NA,Ophiodermatoidea,Ophiomyxidae,NA,Ophioconis,Ophioconis permixta
FE-POC47,COMO,snail,Coralliophila monodonta,NA,total_length,NA,,HASP & LIMPs 47,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
FE-POC47,COMO,snail,Coralliophila monodonta,NA,total_length,NA,,HASP & LIMPs 47,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
FE-POC47,COMO,snail,Coralliophila monodonta,NA,total_length,NA,,HASP & LIMPs 47,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
FE-POC47,COMO,snail,Coralliophila monodonta,NA,total_length,NA,,HASP & LIMPs 47,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",549942,species,Mollusca,NA,NA,Gastropoda,Caenogastropoda,NA,Neogastropoda,NA,NA,Muricoidea,Muricidae,Coralliophilinae,Coralliophila,Coralliophila monodonta
FE-POC47,HASP,shrimp,Harpiliopsis spinigera,NA,rostrum_to_tail,NA,,HASP & LIMPs 47,certain,,,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
FE-POC47,IPSP,worm,Iphione,NA,total_length,NA,,unknown misc 47,revision_possible,,There are some similar looking Polynoid worms.. Not sure how they're distinguished,206125,genus,Annelida,NA,NA,Polychaeta,Errantia,NA,Phyllodocida,Aphroditiformia,NA,NA,Iphionidae,NA,Iphione,NA
FE-POC47,EVSP,fish,Eviota,NA,total_length,NA,standard_length,unknown misc 47,revision_possible,,"Right shape, looks like indistinct ones on biocode",205965,genus,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Gobioidei,NA,NA,Gobiidae,Gobiinae,Eviota,NA
FE-POC47,UNSP,amphipod,Unciola,NA,rostrum_to_tail,NA,,unknown misc 47,certain,,Only amph in Biocode with solid red eyes,101474,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophiida,Aoroidea,Unciolidae,Unciolinae,Unciola,NA
FE-POC47,GAST,snail,Gastropoda,NA,total_length,NA,,unknown misc 47,uncertain,,"Consider removing, doesn't appear alive",101,class,Mollusca,NA,NA,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FE-POC47,SYCH,shrimp,Synalpheus charon,NA,rostrum_to_tail,NA,,unknown shrimps 47,revision_possible,,"Red opaque shell, dark spots, very zig zaggy claw; worth getting expert opinion in case some are ALSI",210494,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Synalpheus,Synalpheus charon
FE-POC47,PESP,shrimp,Periclimenes,NA,rostrum_to_tail,NA,,unknown shrimps 47,revision_possible,,,107035,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Periclimenes,NA
FE-POC48,OPSA,echinoderm,Ophiactis savignyi,NA,disc_width,NA,arm_length,unknown brittles 48,certain,,"Spiky irregular pattern on disc, large blunt arm spines, greenish banding (may be congener, not sure species is possbile)",125122,species,Echinodermata,Asterozoa,NA,Ophiuroidea,Myophiuroidea,Ophintegrida,Amphilepidida,Gnathophiurina,NA,Ophiactoidea,Ophiactidae,NA,Ophiactis,Ophiactis savignyi
FE-POC48,OPSA,echinoderm,Ophiactis savignyi,NA,disc_width,NA,arm_length,unknown brittles 48,certain,,"Spiky irregular pattern on disc, large blunt arm spines, greenish banding (may be congener, not sure species is possbile)",125122,species,Echinodermata,Asterozoa,NA,Ophiuroidea,Myophiuroidea,Ophintegrida,Amphilepidida,Gnathophiurina,NA,Ophiactoidea,Ophiactidae,NA,Ophiactis,Ophiactis savignyi
FE-POC48,OPPE,echinoderm,Ophioconis permixta,NA,disc_width,NA,arm_length,unknown brittles 48,revision_possible,,"Disc isn't a perfect match, maybe congener? Small spines, banding on arms, mottled appearance",238160,species,Echinodermata,Asterozoa,NA,Ophiuroidea,Myophiuroidea,Ophintegrida,Ophiacanthida,Ophiodermatina,NA,Ophiodermatoidea,Ophiomyxidae,NA,Ophioconis,Ophioconis permixta
FE-POC48,OPPE,echinoderm,Ophioconis permixta,NA,disc_width,NA,arm_length,unknown brittles 48,revision_possible,,"Disc isn't a perfect match, maybe congener? Small spines, banding on arms, mottled appearance",238160,species,Echinodermata,Asterozoa,NA,Ophiuroidea,Myophiuroidea,Ophintegrida,Ophiacanthida,Ophiodermatina,NA,Ophiodermatoidea,Ophiomyxidae,NA,Ophioconis,Ophioconis permixta
FE-POC48,OPPE,echinoderm,Ophioconis permixta,NA,disc_width,NA,arm_length,unknown brittles 48,revision_possible,,"Disc isn't a perfect match, maybe congener? Small spines, banding on arms, mottled appearance",238160,species,Echinodermata,Asterozoa,NA,Ophiuroidea,Myophiuroidea,Ophintegrida,Ophiacanthida,Ophiodermatina,NA,Ophiodermatoidea,Ophiomyxidae,NA,Ophioconis,Ophioconis permixta
FE-POC48,OPPE,echinoderm,Ophioconis permixta,NA,disc_width,NA,arm_length,unknown brittles 48,revision_possible,,"Disc isn't a perfect match, maybe congener? Small spines, banding on arms, mottled appearance",238160,species,Echinodermata,Asterozoa,NA,Ophiuroidea,Myophiuroidea,Ophintegrida,Ophiacanthida,Ophiodermatina,NA,Ophiodermatoidea,Ophiomyxidae,NA,Ophioconis,Ophioconis permixta
FE-POC48,DOGL,crab,Domecia glabra,NA,carapace_width,NA,,unknown crab 48,revision_possible,,"Claw spikes fit, setae on body doesn't, maybe another Domecia? Or just a dirty sample. Body shape, spines don't fit Pilodius, nor does claw",209147,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Domeciidae,NA,Domecia,Domecia glabra
FE-POC48,ALPH,shrimp,Alpheidae,NA,rostrum_to_tail,NA,,unknown alph 48,revision_possible,,A. eulimene or SYCH are best guesses. Both really big claws and red spots..,106776,family,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,NA,NA
